Applicant,State,Vertical,Proposed Employment,Sector
KRPC Lishen Battery India Private Limited,Delhi,B9-Consummable & Accessories,100,Mobile & Accessories
Lava International Limited,Uttar Pradesh,A1-Telecom Products,2106,Mobile & Accessories
Lava International Limited,Uttar Pradesh,A1-Telecom Products,3256,Mobile & Accessories
Lava International Limited,Uttar Pradesh,A1-Telecom Products,1262,Mobile & Accessories
Laxmi Remote India (P) Ltd,Uttar Pradesh,"A1-Telecom Products 
B9-Consummable & Accessories",800,IT & Telecom
LEDchip Indus Private Limited,Telangana,"B4-All assembly, testing, amrking and packaging of ESDM units",29,ATMP
LG Electronics India Pvt. Ltd,Maharashtra,A3-Consumer Electronics,465,Consumer Electronics
LG Electronics India Pvt. Ltd,Maharashtra,A19-Consumer Appliances,NA,Consumer Appliances
LG Electronics India Pvt. Ltd,Maharashtra,A19-Consumer Appliances,222,Consumer Appliances
LG Electronics India Pvt. Ltd,Uttar Pradesh,A19-Consumer Appliances,3074,Consumer Appliances
Liebherr Appliances India Private Limited,Maharashtra,A19-Consumer Appliances,1400,Consumer Appliances
Lighting Technologies India Pvt. Ltd.,Karnataka,A7-Light Emitting Diode (LEDs),250,LED
LS Automotive India Pvt Ltd.,Tamil Nadu ,A13-Automotive Electronics,1597,Automotive Electronics
M&M Machine Craft Pvt. Ltd.,Haryana,C-Electronic Manufaacturing Services,89,Electronic Manufacturing Services
Madras Security Printers Private Limited,Tamil Nadu,A17-Bio-metric and identity devices/RFID: Smart Card manufacturing and personalization,257,IT & Telecom
Magneti Marelli Powertrain India (P) Ltd (Marelli Powertrain India Private limited),Haryana,A13-Automotive Electronics,621,Automotive Electronics
Mahabell Industries ,Karnataka,A7-Light Emitting Diode (LEDs),93,LED
Mando Automotive India Private Limited,Tamil Nadu,A13-Automotive Electronics,900,Automotive Electronics
Mando Hella Electronics Automotive India Private Limited,Tamil Nadu,A13-Automotive Electronics,238,Automotive Electronics
Marelli UM Electronic Systems (P) Ltd,Haryana,A13-Automotive Electronics,550,Automotive Electronics
Markem Imaje India Private Limited,Rajasthan,A1-Telecom Products,90,IT & Telecom
Megatherm Induction Pvt Ltd,West Bangal,A10-Industrial Electronics Products,105,Industrial Electronics
Meher Advanced  Materials Pvt. Ltd,Karnataka,B8-Electromechanical Components and Mechanical Parts ,24,Components & accessories 
Micropack Limited,Karnataka,B8-Electromechanical Components and Mechanical Parts ,227,Printed Cicuit Board
Midea India Private Limited ,Maharashtra,A19-Consumer Appliances,500,Consumer Appliances
Minda Industries Limited,Maharashtra,A13-Automotive Electronics,70,Components & accessories 
Minda Industries Ltd,Maharashtra,A13-Automotive Electronics,48,Automotive Electronics
Minda Kateloc Electronics Services Private Limited,Maharashtra,C-Electronic Manufaacturing Services,57,Electronic Manufacturing Services
Minda Onkyo India Pvt Ltd,Haryana,A19-Consumer Appliances,139,Automotive Electronics
Minda Stoneridge Instruments Limited,Maharashtra,A13-Automotive Electronics,466,Automotive Electronics
Mindarika Private Limited,Gujarat,A13-Automotive Electronics,122,Automotive Electronics
Mitsubishi Electric Automotive India Private Limited,Gujarat,A13-Automotive Electronics,177,Automotive Electronics
Mitsubishi Electric Automotive India Pvt Ltd.,Haryana,A13-Automotive Electronics,153,Automotive Electronics
Mobismart Card Technology Pvt Limited,Tamil Nadu,A17-Bio-metric and identity devices/RFID: Smart Card manufacturing and personalization,96,IT & Telecom
Modern Communications and Broadcast Systems Pvt Ltd,Gujarat,A1-Telecom Products,270,IT & Telecom
Motherson Sumi Systems Ltd.,Uttar Pradesh,A13-Automotive Electronics,250,Automotive Electronics
Motion Drivetronics,Maharashtra,B8-Electromechanical Components and Mechanical Parts ,553,Components & accessories 
MSS India Private Limited,Maharashtra,"B8-Electromechanical Components and Mechanical Parts 
A7-Light Emmitting Diode. ",150,LED
Mundra Solar PV Limited,Gujarat,"A6-Solar Photovoltaic including thin film, polysilicon etc",3355,Solar
Munoth Industries Limited,Andhra Pradesh,A1-Telecom Products,1590,Mobile & Accessories
Napino Auto And Electronics Ltd.,Haryana,A13-Automotive Electronics,290,Components & accessories 
Napino Control Systems Private Limited,Haryana,A13-Automotive Electronics,246,Automotive Electronics
Nash Industries (I) Pvt. Ltd.  ,Karnataka,B8-Electromechanical Components and Mechanical Parts ,20,Components & accessories 
Newcap Capacitors Private Limited,Gujarat,B8-Electromechanical Components and Mechanical Parts ,50,Components & accessories 
Nidec India Private Limited,Rajasthan,B8-Electromechanical Components and Mechanical Parts ,2001,Components & accessories 
Nidec India Private Limited,Rajasthan,B8-Electromechanical Components and Mechanical Parts ,277,Components & accessories 
NIDEC India Private Limited,Rajasthan,A13-Automotive Electronics,88,Components & accessories 
NIDEC India Private Limited,Rajasthan,B8-Electromechanical Components and Mechanical Parts ,69,Components & accessories 
NIDEC India Private Limited,Rajasthan,A13-Automotive Electronics,128,automotive electronics
Nippon Audiotronix Ltd.,Haryana,A13-Automotive Electronics,100,Automotive Electronics
Nitiraj Engineers Limited,Maharashtra,A13-Automotive Electronics,465,Industrial Electronics
Northern Petroleum Company,uttar pradesh,B9-Consummable & Accessories,65,Mobile & Accessories
Novasys Greenergy Private Limited,Maharashtra,"A6-Solar Photovoltaic including thin film, polysilicon etc",122,Solar
O/E/N India Limited,Maharashtra,B8-Electromechanical Components and Mechanical Parts ,385,Components & accessories 
Om Optel Industries Pvt. Limited,Madhya Pradesh,A1-Telecom Products,151,IT & Telecom
OPPO Mobiles India Private Limited,Uttar Pradesh,A1-Telecom Products,35000,Mobile & Accessories
OPPO Mobiles India Private Limited,Uttar Pradesh,A1-Telecom Products,8500,mobile & Accessories
Orient Cables India Pvt. Ltd.,Rajasthan,A1-Telecom Products,167,IT & Telecom
Pacific Cyber Technology Private Limited,Daman ,C-Electronic Manufaacturing Services,1840,Electronic Manufacturing Services
Padget Electronics Private Limited,Uttar Pradesh,A1-Telecom Products,525,Mobile & Accessories
Padget Electronics Pvt Ltd,Uttar Pradesh,C-Electronic Manufaacturing Services,455,Electronic Manufacturing Services
